Species,Occupancy,Density,Observations,South Dakota BLM,Washington BLM,Idaho BLM,Nevada BLM,California BLM,Oregon BLM,Wyoming BLM,North Dakota BLM,Colorado BLM,Utah BLM,Montana BLM
"Abert's Towhee","1","1","0","","","","","","","","","","Sensitive Species",""
"Acorn Woodpecker","1","1","0","","Sensitive Species","","","","","","","","",""
"American Avocet","1","1","0","","","","","","","","","","Sensitive Species",""
"American Bittern","1","1","0","Sensitive Species","","","","","","","","","Sensitive Species","Sensitive Species"
"Ash-throated Flycatcher","1","1","0","","Sensitive Species","","","","","","","","",""
"American Three-toed Woodpecker","1","1","0","","","","","","","","","","Sensitive Species",""
"American White Pelican","1","1","2","","Sensitive Species","","","","Sensitive Species","","","Sensitive Species","Sensitive Species",""
"Bald Eagle","1","1","3","Sensitive Species","Sensitive Species","Type II","Sensitive Species","Sensitive Species","Sensitive Species","Sensitive Species","Sensitive Species","Sensitive Species","Sensitive Species","Sensitive Species"
"Baird's Sparrow","1","1","88","Sensitive Species","","","","","","Sensitive Species","Sensitive Species","","","Sensitive Species"
"Bank Swallow","1","1","0","","","","","Sensitive Species","","","","","",""
"Black-billed Cuckoo","1","1","0","Sensitive Species","","","","","","","","","",""
"Black-backed Woodpecker","1","1","0","Sensitive Species","","","","","","","Sensitive Species","","","Sensitive Species"
"Black-chinned Sparrow","1","1","16","","","","","","","","","","Sensitive Species",""
"Bendire's Thrasher","0","0","0","","","","Sensitive Species","Sensitive Species","","","","","Sensitive Species",""
"Bell's Vireo","1","1","0","","","","","Sensitive Species","","","","","Sensitive Species",""
"Blue-gray Gnatcatcher","1","1","0","Sensitive Species","","","","","","","","","","Sensitive Species"
"Black Rail","0","0","0","","","","","Sensitive Species","","","","","",""
"Black Rosy-Finch","1","1","0","","","","Sensitive Species","","Sensitive Species","","","","Sensitive Species",""
"Black Swift","0","0","0","","","Type II","","","Sensitive Species","","","Sensitive Species","Sensitive Species",""
"Black Tern","1","1","0","Sensitive Species","","Type II","","","","","Sensitive Species","","","Sensitive Species"
"Black-necked Stilt","1","0","0","","","","","","","","","","Sensitive Species",""
"Bobolink","1","1","0","","Sensitive Species","","","","Sensitive Species","","","","Sensitive Species",""
"Brown Pelican","0","0","0","","Sensitive Species","","","Sensitive Species","Sensitive Species","","","","",""
"Brewer's Sparrow","1","1","5299","Sensitive Species","Sensitive Species","","Sensitive Species","","","Sensitive Species","","Sensitive Species","Sensitive Species","Sensitive Species"
"Band-tailed Pigeon","1","1","0","","","","","","","","","","Sensitive Species",""
"Black-throated Sparrow","1","1","1","","Sensitive Species","Type II","","","","","","","",""
"Black-throated Gray Warbler","1","1","138","","","","","","","","","","Sensitive Species",""
"Bufflehead","0","0","0","","","","","","Sensitive Species","","","","",""
"Burrowing Owl","1","1","8","Sensitive Species","Sensitive Species","Type II","Sensitive Species","Sensitive Species","","Sensitive Species","Sensitive Species","Sensitive Species","Sensitive Species","Sensitive Species"
"Cassin's Finch","1","1","3","","","Type II","","","","","","","Sensitive Species",""
"Calliope Hummingbird","1","1","0","","","","","","","","","","Sensitive Species",""
"California Towhee","0","0","0","","","","","Sensitive Species","","","","","",""
"Caspian Tern","0","0","0","Sensitive Species","","","","","","","","","Sensitive Species","Sensitive Species"
"Chestnut-collared Longspur","1","1","553","Sensitive Species","","","","","","","","","Sensitive Species","Sensitive Species"
"Clark's Grebe","0","0","0","","Sensitive Species","","","","","","","","",""
"Clapper Rail","0","0","0","","","","Sensitive Species","Sensitive Species","","","","","",""
"Common Loon","0","0","0","","Sensitive Species","","","","","","","","",""
"Common Tern","0","0","1","Sensitive Species","","","","","","","","","","Sensitive Species"
"Crissal Thrasher","1","1","0","","","","Sensitive Species","","","","","","Sensitive Species",""
"Eared Grebe","1","1","0","","","","","","","","","","Sensitive Species",""
"Elf Owl","0","0","0","","","","","Sensitive Species","","","","","",""
"Ferruginous Hawk","1","1","18","Sensitive Species","Sensitive Species","Type II","Sensitive Species","","","Sensitive Species","Sensitive Species","Sensitive Species","Sensitive Species","Sensitive Species"
"Flammulated Owl","0","0","0","Sensitive Species","","Type II","Sensitive Species","","","","","","Sensitive Species","Sensitive Species"
"Forster's Tern","1","1","0","Sensitive Species","","","","","","","","","","Sensitive Species"
"Franklin's Gull","1","1","1","Sensitive Species","","","","","Sensitive Species","","","","","Sensitive Species"
"Gambel's Quail","1","1","3","","","","","","","","","","Sensitive Species",""
"Gray-crowned Rosy-Finch","0","0","0","","","","Sensitive Species","","","","","","",""
"Great Gray Owl","0","0","0","Sensitive Species","Sensitive Species","","","","","","","","","Sensitive Species"
"Gilded Flicker","1","1","0","","","","","Sensitive Species","","","","","",""
"Gila Woodpecker","1","1","0","","","","","Sensitive Species","","","","","",""
"Golden Eagle","1","1","8","Sensitive Species","","Type II","Sensitive Species","Sensitive Species","","","Sensitive Species","Sensitive Species","Sensitive Species","Sensitive Species"
"Gray Flycatcher","1","1","0","","Sensitive Species","","","","","","","","",""
"Greater Sage-Grouse","1","1","11","Sensitive Species","Sensitive Species","Type II","Sensitive Species","Sensitive Species","Sensitive Species","Sensitive Species","Sensitive Species","Sensitive Species","Sensitive Species","Sensitive Species"
"Grasshopper Sparrow","1","1","120","Sensitive Species","","Type II","","","Sensitive Species","","","","Sensitive Species",""
"Gray Vireo","1","1","110","","","","","Sensitive Species","","","","","Sensitive Species",""
"Grace's Warbler","1","1","1","","","","","","","","","","Sensitive Species",""
"Green-tailed Towhee","1","1","152","","Sensitive Species","Type II","","","","","","","Sensitive Species",""
"Gunnison Sage-Grouse","0","0","1","","","","","","","","","Federally Threatened","Sensitive Species",""
"Gyrfalcon","0","0","0","","Sensitive Species","","","","","","","","",""
"Horned Grebe","0","0","0","Sensitive Species","","","","","Sensitive Species","","","","",""
"Long-billed Curlew","1","1","103","Sensitive Species","Sensitive Species","Type II","Sensitive Species","","","Sensitive Species","Sensitive Species","Sensitive Species","Sensitive Species","Sensitive Species"
"Le Conte's Sparrow","0","0","0","","","","","Sensitive Species","","","","","",""
"Le Conte's Thrasher","0","0","0","","","","Sensitive Species","","","","","","",""
"Least Bittern","0","0","0","","","","Sensitive Species","","","","","","",""
"Lesser Goldfinch","1","1","0","","Sensitive Species","","","","","","","","",""
"Lesser Prairie-Chicken","1","1","0","","","","","","","","","Sensitive Species","",""
"Least Tern","1","1","0","","","","","","","","Federally Endangered","","","Federally Endangered"
"Lewis's Woodpecker","1","1","0","Sensitive Species","Sensitive Species","Type II","Sensitive Species","","Sensitive Species","","","","Sensitive Species","Sensitive Species"
"Loggerhead Shrike","1","1","83","Sensitive Species","","Type II","Sensitive Species","","","Sensitive Species","","","Sensitive Species","Sensitive Species"
"Lucy's Warbler","1","1","8","","","","","Sensitive Species","","","","","Sensitive Species",""
"Marbled Godwit","1","1","19","Sensitive Species","","","","","","","","","Sensitive Species",""
"Mountain Plover","1","1","39","Sensitive Species","","","","Sensitive Species","","Sensitive Species","","Sensitive Species","Sensitive Species","Sensitive Species"
"Mountain Quail","1","1","0","","Sensitive Species","Type II","Sensitive Species","","","","","","",""
"Northern Goshawk","1","1","0","","Sensitive Species","Type II","Sensitive Species","Sensitive Species","","Sensitive Species","","Sensitive Species","Sensitive Species",""
"Northern Pygmy-Owl","1","1","0","","","","","","","","","","Sensitive Species",""
"Northern Waterthrush","1","1","0","","","","","","Sensitive Species","","","","",""
"Olive-sided Flycatcher","1","1","1","","","Type II","","","","","","","Sensitive Species",""
"Osprey","1","1","0","","","","","","","","","","Sensitive Species",""
"Peregrine Falcon","1","1","3","Sensitive Species","","","Sensitive Species","","","Sensitive Species","Sensitive Species","Sensitive Species","Sensitive Species","Sensitive Species"
"Phainopepla","1","1","0","","","","Sensitive Species","","","","","","",""
"Pinyon Jay","1","1","134","","","Type II","Sensitive Species","","","","","","Sensitive Species",""
"Prairie Falcon","1","1","0","","","","","","","","","","Sensitive Species",""
"Purple Martin","1","1","0","","","","","","Sensitive Species","","","","",""
"Red Knot","0","0","0","","","","","","","","Federally Threatened","","","Federally Threatened"
"Red-headed Woodpecker","1","1","2","Sensitive Species","","","","","","","","","","Sensitive Species"
"Red-necked Grebe","0","0","0","","","","","","Sensitive Species","","","","",""
"Sagebrush Sparrow","1","1","865","Sensitive Species","Sensitive Species","Type II","","","","Sensitive Species","","","Sensitive Species","Sensitive Species"
"Sandhill Crane","1","1","0","","Sensitive Species","","Sensitive Species","Sensitive Species","","","","","",""
"Sage Thrasher","1","1","1652","Sensitive Species","Sensitive Species","Type II","Sensitive Species","","","Sensitive Species","","","Sensitive Species","Sensitive Species"
"Short-eared Owl","1","1","0","","Sensitive Species","Type II","Sensitive Species","","","","","","Sensitive Species",""
"Snowy Egret","0","0","0","","","","","","Sensitive Species","","","","",""
"Snowy Plover","1","0","0","","","","Sensitive Species","","Sensitive Species","","","Sensitive Species","Sensitive Species",""
"Spotted Owl","0","0","0","","","","","Sensitive Species","","","","","Sensitive Species",""
"Sprague's Pipit","1","1","39","Sensitive Species","","","","","","","Sensitive Species","","","Sensitive Species"
"Sharp-tailed Grouse","1","1","3","","Sensitive Species","Type II","Sensitive Species","","Sensitive Species","Sensitive Species","","Sensitive Species","Sensitive Species",""
"Swainson's Hawk","1","1","0","","","","Sensitive Species","Sensitive Species","","","","","",""
"Thick-billed Longspur","1","1","116","Sensitive Species","","","","","","","","","","Sensitive Species"
"Tricolored Blackbird","0","0","0","","","","","Sensitive Species","Sensitive Species","","","","Sensitive Species",""
"Trumpeter Swan","1","0","1","Sensitive Species","","Type II","","","Sensitive Species","Sensitive Species","","","","Sensitive Species"
"Tufted Puffin","0","0","0","","","","","","Sensitive Species","","","","",""
"Upland Sandpiper","1","1","0","","","","","","Sensitive Species","","","","",""
"Vaux's Swift","1","1","0","","","Type II","","","","","","","",""
"Veery","1","1","0","Sensitive Species","","","","","","","","","Sensitive Species","Sensitive Species"
"Virginia's Warbler","1","1","11","","","Type II","","","","","","","Sensitive Species",""
"White-faced Ibis","1","1","0","Sensitive Species","","","","","","Sensitive Species","","Sensitive Species","Sensitive Species","Sensitive Species"
"Whooping Crane","0","0","0","","","","","","","","","","Sensitive Species",""
"White-headed Woodpecker","1","1","0","","Sensitive Species","Type II","","","Sensitive Species","","","","Sensitive Species",""
"Willow Flycatcher","1","1","2","","","Type II","Sensitive Species","Sensitive Species","","","","","Sensitive Species",""
"Wilson's Phalarope","1","1","0","","","","","","","","","","Sensitive Species",""
"Williamson's Sapsucker","1","1","0","","","","","","","","","","Sensitive Species",""
"White-tailed Kite","0","0","0","","","","","Sensitive Species","","","","","",""
"Yellow-billed Cuckoo","1","1","1","","","Federally Threatened","Sensitive Species","Sensitive Species","","Federally Threatened","","Federally Threatened","Federally Threatened","Federally Threatened"
"Yellow Rail","0","0","0","Sensitive Species","","","","","Sensitive Species","","","","Sensitive Species",""
